Category,Food or category (serving),Number of sources,Mean Ni (ug/serving),Stddev (ug/serving),Min Ni (ug/serving),Max Ni (ug/serving)
Vegetables - Leafy,"Arugula/rocket, 85 g*",1,24.65,0,24.65,24.65
Vegetables - Leafy,"Brussels sprouts tops, 85 g*",1,24.65,0,24.65,24.65
Vegetables - Leafy,"Collard greens, 85 g*",1,25.5,0,25.5,25.5
Vegetables - Leafy,"Leaf chicory (endive or radicchio), 85 g",5,25.08,13.87,6.89,48.79
Vegetables - Leafy,"Seaweed, 15 g",19,20.66,22.72,1.5,102.9
Vegetables - Leafy,"Fenugreek leaves, 85 g*",1,28.9,0,28.9,28.9
Vegetables - Leafy,"Ponnaganni (leaves), 85 g*",1,34.85,0,34.85,34.85
Vegetables - Leafy,"Garden cress, 85 g*",2,35.7,0,35.7,35.7
Vegetables - Leafy,"Betel leaves, 85 g",2,39.53,2.98,36.55,42.5
Vegetables - Leafy,"Malabar spinach, 85 g*",1,37.4,0,37.4,37.4
Vegetables - Leafy,"Gogu leaves, 85 g*",2,42.5,0,42.5,42.5
Vegetables - Leafy,"Nettle leaves, 85 g*",1,42.5,0,42.5,42.5
Vegetables - Leafy,"Agathi leaves, 85 g*",1,57.8,0,57.8,57.8
Vegetables - Other,"Olives, 15 g",56,1.31,0.84,0.15,5.55
Vegetables - Other,"Pickles, 30 g",56,1.16,1.16,0.17,6.75
Vegetables - Other,"Mushrooms, 85 g",136,2.39,2.36,0.26,11.9
Vegetables - Other,"Celery, 85 g",87,2.8,2.2,0.43,16.15
Vegetables - Other,"Tomato, 85 g",107,2.44,3.03,0.43,20.49
Vegetables - Other,"Cucumber, 85 g",109,2.84,3.1,0.43,21.25
Vegetables - Other,"Plantain, stem, 85 g*",1,2.55,0,2.55,2.55
Vegetables - Other,"Wax gourd, 85 g*",1,3.06,0,3.06,3.06
Vegetables - Other,"Garlic scapes, 40 g*",1,4,0,4,4
Vegetables - Other,"Plantain, green, 85 g*",1,4.25,0,4.25,4.25
Vegetables - Other,"Eggplant, 85 g",9,4.37,4.1,0.34,11.05
Vegetables - Other,"Leek, 85 g",8,4.74,3.38,1.4,11.05
Vegetables - Other,"Tomato, sun-dried, 30 g",2,5.13,4.17,0.96,9.3
Vegetables - Other,"Ivy gourd, 85 g",2,6.8,1.7,5.1,8.5
Vegetables - Other,"Cauliflower, 85 g",18,6.08,5.06,0.94,20.4
Vegetables - Other,"Ash gourd, 85 g*",1,6.8,0,6.8,6.8
Vegetables - Other,"Bamboo shoot, 85 g*",1,6.8,0,6.8,6.8
Vegetables - Other,"Plantain, flower, 85 g*",1,7.65,0,7.65,7.65
Vegetables - Other,"Taro stem, 85 g",2,8.93,2.13,6.8,11.05
Vegetables - Other,"Spring onion, 40 g",4,7.58,4.89,1.6,12.4
Vegetables - Other,"Bottle gourd, 85 g",3,9.92,2.23,6.8,11.9
Vegetables - Other,"Peppers, 85 g",106,6.99,8.31,0.6,49.98
Vegetables - Other,"Drumstick, 85 g*",1,9.35,0,9.35,9.35
Vegetables - Other,"Broccoli, 85 g",9,9.69,5.52,2.3,22.1
Vegetables - Other,"Corn, 85 g",14,7.89,9.31,2.72,39.95
Vegetables - Other,"Zucchini, 85 g",5,9.82,8.74,0.64,21.25
Vegetables - Other,"Ridge gourd, 85 g",2,11.05,0.85,10.2,11.9
Vegetables - Other,"Snake gourd, 85 g",3,10.2,3.47,5.95,14.45
Vegetables - Other,"Rhubarb, 140 g",7,11.11,4.77,5.04,21
Vegetables - Other,"Pointed gourd, 85 g*",1,10.2,0,10.2,10.2
Vegetables - Other,"Tinda gourd, 85 g*",1,10.2,0,10.2,10.2
Vegetables - Other,"Squash, 85 g",3,12.64,6.21,3.91,17.85
Vegetables - Other,"Snow pea, 85 g*",1,12.75,0,12.75,12.75
Vegetables - Other,"Pumpkin, 85 g",5,14.16,7.96,3.91,23.8
Vegetables - Other,"Brussels sprouts, 85 g",11,12.45,11.9,2.38,47.6
Vegetables - Other,"Beans, runner, 85 g",2,17.21,5.74,11.48,22.95
Vegetables - Other,"Bitter melon, 85 g",4,18.28,12.57,9.35,39.95
Vegetables - Other,"Green beans, 85 g",13,19.14,11.65,3.52,47.6
Vegetables - Other,"Asparagus, 85 g",6,25.25,7.99,15.3,35.7
Vegetables - Other,"Snap peas, 85 g*",1,22.1,0,22.1,22.1
Vegetables - Other,"Okra, 85 g",2,25.5,15.3,10.2,40.8
Vegetables - Other,"Bean sprouts, 65 g",4,29.4,17.37,11.05,56.94
Vegetables - Other,"Peas, dried, 35 g",6,32.81,20.44,4.52,59.5
Vegetables - Other,"Chayote, 85 g",2,34.85,28.05,6.8,62.9
Vegetables - Other,"Peas, 85 g",15,34.54,41.79,4.82,186.15
Vegetables - Prepared,"Bean sprouts, cooked, 65 g*",1,0.04,0,0.04,0.04
Vegetables - Prepared,"Mushroom, composite, 107.5 g",15,1.09,0.9,0.17,3.76
Vegetables - Prepared,"Kohlrabi, composite, 107.5 g",8,2.55,0.69,2.15,4.3
Vegetables - Prepared,"Tomato, composite, 107.5 g",19,2.05,1.83,0.37,8.06
Vegetables - Prepared,"Onion, composite, 107.5 g",4,2.8,0.71,2.15,3.87
Vegetables - Prepared,"Potato, instant, 17 g",4,3.19,0.93,1.7,4.25
Vegetables - Prepared,"Turnip, cooked, 130 g",49,2.84,2.19,1.04,10.01
Vegetables - Prepared,"Celery, composite, 107.5 g",15,3.39,1.71,0.24,7.1
Vegetables - Prepared,"Onions, pickled, 130 g*",1,2.6,0,2.6,2.6
Vegetables - Prepared,"Cabbage, cooked, 130 g",65,3.62,2.88,0.65,14.3
Vegetables - Prepared,"Leek, cooked, 130 g",4,4.88,0.5,4.03,5.33
Vegetables - Prepared,"Fennel, composite, 107.5 g",8,4.46,1.36,2.8,7.1
Vegetables - Prepared,"Brussels sprouts, composite, 107.5 g*",1,3.23,0,3.23,3.23
Vegetables - Prepared,"Tomato, cooked, 107.5 g*",1,3.78,0,3.78,3.78
Vegetables - Prepared,"Eggplant, cooked, 130 g",81,3.05,5.44,0.57,46.8
Vegetables - Prepared,"Cabbage, canned, 130 g*",2,3.9,0,3.9,3.9
Vegetables - Prepared,"Collard greens, cooked, 130 g",74,4.61,2.58,1.04,11.44
Vegetables - Prepared,"Pumpkin, marinated, 130 g",2,5.59,0.91,4.68,6.5
Vegetables - Prepared,"Corn, cooked, 130 g",97,4.59,3.12,1.04,20.8
Vegetables - Prepared,"Beets, canned, 130 g",50,4.98,3.33,1.04,15.73
Vegetables - Prepared,"Cabbage, sauerkraut, 85 g",5,5.83,1.9,4.25,8.38
Vegetables - Prepared,"Carrot, cooked, 130 g",53,5.66,2.91,0.78,14.82
Vegetables - Prepared,"Nettles, cooked, 130 g*",1,5.59,0,5.59,5.59
Vegetables - Prepared,"Wax gourd, cooked, 130 g*",1,5.72,0,5.72,5.72
Vegetables - Prepared,"Potato, instant, prepared, 140 g*",1,5.73,0,5.73,5.73
Vegetables - Prepared,"Onion, cooked, 130 g",21,5.15,5.06,0.97,24.96
Vegetables - Prepared,"Okra, cooked, 130 g",48,6.08,3.66,1.04,17.55
Vegetables - Prepared,"Pumpkin, canned, 130 g*",1,6.5,0,6.5,6.5
Vegetables - Prepared,"Pumpkin, composite, 107.5 g",4,7.77,1.55,6.24,10.32
Vegetables - Prepared,"Salsify, cooked, 130 g*",1,6.93,0,6.93,6.93
Vegetables - Prepared,"Spinach, cooked, 130 g",54,7.16,3.52,1.04,19.11
Vegetables - Prepared,"Water spinach, cooked, 130 g*",1,7.02,0,7.02,7.02
Vegetables - Prepared,"Corn, canned, 130 g",56,5.79,7.31,1.04,53.95
Vegetables - Prepared,"Peppers, composite, 107.5 g",5,6.84,5.37,0.65,16.13
Vegetables - Prepared,"Cauliflower, cooked, 130 g",95,7.41,5.91,0.78,41.6
Vegetables - Prepared,"Spinach, composite, 107.5 g",12,8.02,4.98,2.78,22.68
Vegetables - Prepared,"Potato, cooked, 167 g",132,7.59,6.66,0.67,36.74
Vegetables - Prepared,"Broccoli, cooked, 130 g",93,8.44,5.05,1.04,22.1
Vegetables - Prepared,"Carrot, composite, 107.5 g",21,6.7,10.35,0.59,40.31
Vegetables - Prepared,"Zucchini, cooked, 130 g",87,7.84,8.2,1.04,58.5
Vegetables - Prepared,"Beets, cooked, 130 g",20,8.87,7.31,2.96,30.55
Vegetables - Prepared,"Potato, cooked with skin, 167 g",89,9.35,6.67,1.34,48.93
Vegetables - Prepared,"Brussels sprouts, cooked, 130 g",91,9.6,11.35,1.04,67.21
Vegetables - Prepared,"Pumpkin, cooked, 130 g",3,11.18,4.76,6.58,17.73
Vegetables - Prepared,"Broccoli, composite, 107.5 g",17,10.44,6.26,1.67,25.69
Vegetables - Prepared,"Potato, french fried, 70 g",118,11.63,5.78,3.22,32.76
Vegetables - Prepared,"Green beans, canned, 130 g",52,11.94,7.1,1.04,41.73
Vegetables - Prepared,"Cauliflower, composite, 107.5 g",17,11.08,9.78,1.08,35.26
Vegetables - Prepared,"Kale, cooked, 130 g",11,11.84,9.73,2.6,39
Vegetables - Prepared,"Squash, cooked, 130 g",74,11.66,11.07,1.04,62.4
Vegetables - Prepared,"Cabbage, composite, 107.5 g",18,10.57,13.67,1.17,49.99
Vegetables - Prepared,"Mushroom, cooked, 130 g",21,12.65,9.75,0.55,27.82
Vegetables - Prepared,"Peppers, cooked, 130 g*",1,13,0,13,13
Vegetables - Prepared,"Plantain, cooked, 167 g",3,15.81,5.27,11.36,23.21
Vegetables - Prepared,"Seaweed, cooked, 15 g",5,14.24,9.13,2.18,29.55
Vegetables - Prepared,"Sweet potato, canned, 167 g",48,15.21,8.47,1.67,43.42
Vegetables - Prepared,"Hairy gourd, cooked, 130 g*",1,15.21,0,15.21,15.21
Vegetables - Prepared,"Mushroom, canned, 130 g",5,15.65,9.36,2.6,26
Vegetables - Prepared,"Asparagus, canned, 130 g",4,15.57,9.54,6.37,28.6
Vegetables - Prepared,"Sponge gourd, cooked, 130 g*",1,15.6,0,15.6,15.6
Vegetables - Prepared,"Asparagus, cooked, 130 g",93,15.81,9.84,1.04,46.15
Vegetables - Prepared,"Sweet potato, cooked, 167 g",33,15.49,13.24,0,51.77
Vegetables - Prepared,"Yam, cooked, 167 g*",1,18.04,0,18.04,18.04
Vegetables - Prepared,"Mushrooms, marinated, 130 g*",1,19.5,0,19.5,19.5
Vegetables - Prepared,"Green beans, cooked, 130 g",88,17.97,14.49,2.6,96.2
Vegetables - Prepared,"Rutabaga, cooked, 130 g",17,14.42,23.35,0.74,83.2
Vegetables - Prepared,"Spinach, canned, 130 g",2,20.28,14.82,5.46,35.1
Vegetables - Prepared,"Taro, cooked, 167 g",2,28.06,1.34,26.72,29.39
Vegetables - Prepared,"Jerusalem artichoke, cooked, 130 g*",1,20.54,0,20.54,20.54
Vegetables - Prepared,"En choy (chinese spinach), cooked, 130 g*",1,20.8,0,20.8,20.8
Vegetables - Prepared,"Tomato, canned, 130 g",8,21.29,21.66,0.42,63.7
Vegetables - Prepared,"Peas, cooked, 130 g",82,28.4,15.07,2.6,100.75
Vegetables - Prepared,"Parsnip, cooked, 130 g*",1,27.43,0,27.43,27.43
Vegetables - Prepared,"Green beans, canned and cooked composite, 130 g",16,26.18,20.23,5.98,87.75
Vegetables - Prepared,"Gai lan (chinese kale/broccoli), cooked, 130 g*",1,31.2,0,31.2,31.2
Vegetables - Prepared,"Peas, canned, 130 g",5,33.77,18.83,20.15,70.72
Vegetables - Prepared,"Snap peas, cooked, 130 g*",1,36.79,0,36.79,36.79
Vegetables - Prepared,"Fennel, cooked, 130 g*",1,51.35,0,51.35,51.35
Vegetables - Prepared,"Cassava, cooked, 167 g",2,65.05,27.47,37.58,92.52
"Meat, poultry, eggs and substitutes","Venison, 125 g",29,1.9,0.36,1.06,2.5
"Meat, poultry, eggs and substitutes","Rabbit, 125 g",4,1.47,1.46,0.63,4
"Meat, poultry, eggs and substitutes","Sausage, 75 g",24,2.04,1.02,0.46,4.61
"Meat, poultry, eggs and substitutes","Beef, 125 g",73,1.91,2.25,0.19,12.5
"Meat, poultry, eggs and substitutes","Moose, raw, 125 g*",1,1.25,0,1.25,1.25
"Meat, poultry, eggs and substitutes","Egg, 100 g",41,2.09,2.58,0.12,9.2
"Meat, poultry, eggs and substitutes","Lamb, 125 g",23,2.93,1.83,2.06,10.63
"Meat, poultry, eggs and substitutes","Pork, 125 g",55,3.02,2.09,0.3,10.63
"Meat, poultry, eggs and substitutes","Ground beef and/or pork, 125 g",19,2.84,2.88,0.88,13.5
"Meat, poultry, eggs and substitutes","Seitan, 100 g",4,3.35,3.28,0.35,8.4
"Meat, poultry, eggs and substitutes","Chicken, turkey and other poultry, 125 g",66,3.43,3.42,0.13,22.5
"Meat, poultry, eggs and substitutes","Wild boar, 125 g",8,4.92,3.11,2.06,12.5
"Meat, poultry, eggs and substitutes","Veal, 125 g",14,4.43,4.54,1.13,12.5
"Meat, poultry, eggs and substitutes","Soya sausage, 75 g",5,4.78,5.66,0.06,12.38
"Meat, poultry, eggs and substitutes","Black pudding, 75 g",6,5.91,3.59,0.83,10.28
"Meat, poultry, eggs and substitutes","Mutton, 125 g",9,6.3,4.73,1.25,12.5
"Meat, poultry, eggs and substitutes","Bacon, 54 g",9,4.84,11.12,0.43,36.18
"Meat, poultry, eggs and substitutes","Organ meats, 125 g",105,7.98,8.48,0.5,57.5
"Meat, poultry, eggs and substitutes","Goat, 125 g*",3,12.5,0,12.5,12.5
"Meat, poultry, eggs and substitutes","Horse, 125 g",3,10.42,11.2,2.5,26.25
"Meat, poultry, eggs and substitutes","Mithun, 125 g",3,45.83,21.25,25,75
"Meat, poultry, eggs and substitutes","Fermented bean products, 85 g*",1,75.65,0,75.65,75.65
"Meat, poultry, eggs and substitutes","TVP (texturized vegetable protein), 100 g",3,251.33,195.24,100,527
"Meat, poultry and eggs - Prepared","Moose, cooked, 100 g*",1,0.6,0,0.6,0.6
"Meat, poultry and eggs - Prepared","Rabbit, cooked, 100 g*",1,0.6,0,0.6,0.6
"Meat, poultry and eggs - Prepared","Bacon, cooked, 15 g",82,0.71,0.76,0.12,4.16
"Meat, poultry and eggs - Prepared","Venison, cooked, 100 g",7,1.65,0.91,0.6,2.84
"Meat, poultry and eggs - Prepared","Dried meats, 30 g",5,1.71,0.88,0.25,2.72
"Meat, poultry and eggs - Prepared","Lunch meat, 55 g",363,1.66,1.72,0.36,13.2
"Meat, poultry and eggs - Prepared","Lunch meat, canned, 55 g",21,2.07,1,0.52,4.4
"Meat, poultry and eggs - Prepared","Black pudding, cooked, 55 g",5,2.64,3.12,0.71,8.86
"Meat, poultry and eggs - Prepared","Meat jellies, 120 g",4,3.53,1.35,1.99,5.52
"Meat, poultry and eggs - Prepared","Organ meats, cured, 125 g*",2,1.25,0,1.25,1.25
"Meat, poultry and eggs - Prepared","Egg powder, 20 g",3,4.47,1.59,2.8,6.6
"Meat, poultry and eggs - Prepared","Horse, cooked, 100 g*",1,2.68,0,2.68,2.68
"Meat, poultry and eggs - Prepared","Egg, cooked, 100 g",176,2.68,7.22,0.35,63.3
"Meat, poultry and eggs - Prepared","Sausage, cooked, 55 g",238,3.52,5.85,0.32,49.17
"Meat, poultry and eggs - Prepared","Veal, cooked, 100 g",28,3.87,6.15,0.67,27.4
"Meat, poultry and eggs - Prepared","Chicken, turkey and other poultry, cooked, 100 g",486,4.66,5.75,0.1,50
"Meat, poultry and eggs - Prepared","Organ meats, cooked, 100 g",127,4.15,9.67,0.64,76.5
"Meat, poultry and eggs - Prepared","Pate, 55 g",49,4.98,8.33,0.45,32.45
"Meat, poultry and eggs - Prepared","Wild boar, cooked, 100 g",2,7.3,5.2,2.1,12.5
"Meat, poultry and eggs - Prepared","Lamb, cooked, 100 g",97,6.92,13.06,0.7,84.4
"Meat, poultry and eggs - Prepared","Beef, cooked, 100 g",192,6.92,17.37,0.57,115.2
"Meat, poultry and eggs - Prepared","Pork, cooked, 100 g",199,6.5,21.46,0.36,178.3
"Meat, poultry and eggs - Prepared","Mutton, cooked, 100 g",17,12.86,14.47,2,60
"Meat, poultry and eggs - Prepared","Pork, cured, cooked, 55 g",93,14.77,48.91,0.44,383.08
"Meat, poultry and eggs - Prepared","Ground beef and/or pork, cooked, 100 g",123,18.5,48.14,0.74,308.2
Fish and seafood,"Roe substitute (seaweed),15 g",1,0.48,0,0.48,0.48
Fish and seafood,"Fish roe,15 g",10,0.54,0.63,0.08,2.4
Fish and seafood,"Lobster,125 g",4,7,1,5.88,8.38
Fish and seafood,"Fish,125 g",244,6.39,6.71,0.23,41.25
Fish and seafood,"Eel,125 g",7,7.99,7.55,0.21,21.75
Fish and seafood,"Squid or octopus,125 g",8,8.78,11.12,1.38,37.5
Fish and seafood,"Prawn,125 g",9,9.31,13.32,2.19,46.63
Fish and seafood,"Shrimp,125 g",6,11.39,9.39,2.5,28.75
Fish and seafood,"Crayfish,125 g",3,16.35,2.32,14.67,19.63
Fish and seafood,"Crab,125 g",6,13.42,14.24,1.25,36.5
Fish and seafood,"Oysters,125 g",4,58,53.62,10,147.5
Fish and seafood,"Snails or whelks,125 g",5,77.25,126.39,11.25,330
Fish and seafood,"Mussels,125 g",22,103.17,84.91,8.48,400
Fish and seafood,"Cockles,125 g",2,136.25,38.75,97.5,175
Fish and seafood,"Clams,125 g",8,136.05,168.5,10,453.75
Fish and seafood,"Scallops,125 g",6,176.46,179.73,5,425
Fish and seafood - Prepared,"Eel (smoked),55 g",2,0.87,0.23,0.65,1.1
Fish and seafood - Prepared,"Eel (cooked),100 g",3,0.85,0.81,0.23,2
Fish and seafood - Prepared,"Crustaceans (canned),55 g",5,1.54,0.64,0.6,2.59
Fish and seafood - Prepared,"Fish (salted or smoked),55 g",61,1.34,1.18,0.27,7.7
Fish and seafood - Prepared,"Fish (canned),55 g",129,1.49,1.42,0.28,7.7
Fish and seafood - Prepared,"Bivalves (smoked),55 g",1,1.38,0,1.38,1.38
Fish and seafood - Prepared,"Fish (pickled),55 g",12,2.15,1.09,0.37,3.58
Fish and seafood - Prepared,"Shrimp (cooked),100 g",97,2.05,1.39,0.8,13
Fish and seafood - Prepared,"Lobster (cooked),100 g",4,3.05,0.95,2.5,4.7
Fish and seafood - Prepared,"Squid or octopus (cooked),100 g",5,3.48,1.25,2.5,5.5
Fish and seafood - Prepared,"Crab (cooked),100 g",8,3.4,1.67,2.5,7.3
Fish and seafood - Prepared,"Prawns (cooked),100 g",15,4.64,4.45,1.09,18
Fish and seafood - Prepared,"Fish (cooked),100 g",389,5.25,9.57,0.09,80.3
Fish and seafood - Prepared,"Oysters (cooked),100 g",1,13,0,13,13
Fish and seafood - Prepared,"Scallops (cooked),100 g",3,16.83,11.26,2.5,30
Fish and seafood - Prepared,"Bivalves (canned),55 g",3,39.69,8.62,27.5,45.93
Fish and seafood - Prepared,"Crayfish (cooked),100 g",6,39.59,19.8,2.5,58.39
Fish and seafood - Prepared,"Mussels (cooked),100 g",13,57.11,119.95,7,470
Fish and seafood - Prepared,"Snails or whelks (cooked),100 g",7,65.93,71.71,2.5,210
Fish and seafood - Prepared,"Bivalves (pickled),55 g",2,78.93,61.88,17.05,140.8
Fish and seafood - Prepared,"Cockles (cooked),100 g",1,206,0,206,206
Beans and bean products,"Beans, chickpea, canned, 80 g",5,19.07,7.49,11.92,30.4
Beans and bean products,"Beans, white, canned, 80 g",4,24.8,5.6,16,30.4
Beans and bean products,"Beans, black, canned, 80 g",3,26.67,2.64,24.8,30.4
Beans and bean products,"Beans, kidney, canned, 80 g",5,24,11.83,9.6,40
Beans and bean products,"Beans, white, cooked, 80 g",48,25.26,11.34,0.05,52.56
Beans and bean products,"Beans, lentil, canned, 80 g",2,28.6,12.6,16,41.2
Beans and bean products,"Beans, chickpea, cooked, 80 g",3,34.19,7.09,25.6,42.96
Beans and bean products,"Beans, various, canned, 80 g",4,32.04,20.66,18.16,67.6
Beans and bean products,"Beans, pinto, canned, 80 g",3,37.87,9.34,28,50.4
Beans and bean products,"Beans, various, fresh, 80 g",9,43.69,25.49,12.8,96.8
Beans and bean products,"Beans, lima, cooked, 80 g",49,46.97,22.38,6,96.56
Beans and bean products,"Beans, pinto, cooked, 80 g",47,51.39,12.96,18,77.76
Beans and bean products,"Beans, various, cooked, 80 g",12,55.52,63.37,0.05,245.6
Beans and bean products,"Beans, lentil, cooked, 80 g",4,68.08,9.86,59.52,84.8
Beans and bean products,"Beans, various, dried, 35 g",52,78.47,40.23,11.2,245
Beans and bean products,"Tofu, 85 g",7,101.99,123.49,14.03,365.5
Beans and bean products,"Beans, black, cooked, 80 g*",1,112,0,112,112
Beans and bean products,"Soya flakes, 35 g*",1,143.5,0,143.5,143.5
Nuts and seeds,"Caraway seeds, 30 g*",1,0.05,0,0.05,0.05
Nuts and seeds,"Chestnuts, 30 g",2,12.6,0.3,12.3,12.9
Nuts and seeds,"Peanut butter, 15 g",76,10.56,8.24,0.23,57
Nuts and seeds,"Almond butter, 15 g",2,15.83,3.68,12.15,19.5
Nuts and seeds,"Safflower seeds, 30 g*",1,15.9,0,15.9,15.9
Nuts and seeds,"Pistachios, 30 g",13,21.68,6.1,5.31,31.83
Nuts and seeds,"Almonds, 30 g",18,26.08,11.23,5.31,39
Nuts and seeds,"Hazelnut butter, 15 g*",1,30,0,30,30
Nuts and seeds,"Peanuts, 30 g",71,29.25,53.17,2.4,384
Nuts and seeds,"Arecanut, 30 g",2,32.25,1.05,31.2,33.3
Nuts and seeds,"Seeds, various, 30 g",2,33.15,5.25,27.9,38.4
Nuts and seeds,"Sesame seeds, 30 g",13,30.53,20.69,8.4,78.6
Nuts and seeds,"Poppy seeds, 30 g",10,39,16.1,7.2,74.7
Nuts and seeds,"Macadamia nuts, 30 g*",1,42,0,42,42
Nuts and seeds,"Flaxseed, 30 g",5,53.64,11.16,39,66.9
Nuts and seeds,"Hazelnuts, 30 g",30,52.76,20.54,12.9,93
Nuts and seeds,"Pumpkin seeds, 30 g",6,50.44,37.59,5.31,105
Nuts and seeds,"Chia seeds, 30 g",6,65.4,13.02,48,90
Nuts and seeds,"Pine nuts, 30 g",7,67.97,13.87,42,90
Nuts and seeds,"Nuts, various, 30 g",14,68.4,57.24,17.7,245.07
Nuts and seeds,"Brazil nuts, 30 g",5,77.69,40.7,11.67,138
Nuts and seeds,"Niger seeds, 30 g",2,82.5,5.4,77.1,87.9
Nuts and seeds,"Walnuts, 30 g",34,100.23,27.64,33,150
Nuts and seeds,"Sunflower seeds, 30 g",74,101.59,29,10.53,186
Nuts and seeds,"Hemp seeds, 30 g",3,145,45.45,87,198
Nuts and seeds,"Cashews, 30 g",12,169.1,34.8,120,228
Nuts and seeds,"Alfalfa seeds, 30 g",2,169.5,49.5,120,219
Nuts and seeds,"Pecans, 30 g",5,170.4,141.72,60,450
Beverages - Alcoholic,"Liquor, 45 g",64,1.83,1.8,0,7.65
